Title,Audience-Score,Critic-Score,Revenue,Release-Date,Year,Film-Rating,Director,Genre,Runtime,month,season,Decade
Snow White and the Seven Dwarfs,78,97,,,,G,David Hand,"['Kids & Family', 'Fantasy', 'Animation']",80,,,
Pinocchio,33,0,3700000,2002-12-25,2002.0,G,Roberto Benigni,"['Kids & Family', 'Fantasy', 'Comedy', 'Drama']",107,12.0,Winter,2000.0
Fantasia,83,95,24800000,1940-11-13,1940.0,G,James Algar,"['Kids & Family', 'Fantasy', 'Animation']",120,11.0,Fall,1940.0
The Reluctant Dragon,66,100,,1941-01-02,1941.0,,Alfred L. Werker,"['Kids & Family', 'Fantasy']",72,1.0,Winter,1940.0
Dumbo,70,95,,1941-10-23,1941.0,G,Ben Sharpsteen,"['Kids & Family', 'Fantasy', 'Animation']",64,10.0,Fall,1940.0
Bambi,73,91,38100000,1942-08-21,1942.0,G,David Hand,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",70,8.0,Summer,1940.0
Saludos Amigos,40,82,,1943-02-06,1943.0,,Norman Ferguson,"['Kids & Family', 'Musical']",45,2.0,Winter,1940.0
Victory Through Air Power,52,,,,,,James Algar,['Documentary'],70,,,
The Three Caballeros,64,85,,1945-02-03,1945.0,G,Norman Ferguson,"['Kids & Family', 'Musical', 'Fantasy', 'Comedy']",70,2.0,Winter,1940.0
Make Mine Music,40,58,,,,,Jack Kinney,"['Kids & Family', 'Fantasy', 'Animation']",75,,,
Song of the South,72,50,,1949-11-12,1949.0,G,Harve Foster,"['Kids & Family', 'Fantasy']",95,11.0,Fall,1940.0
Fun and Fancy Free,58,73,,1947-09-27,1947.0,G,Jack Kinney,"['Kids & Family', 'Fantasy']",73,9.0,Fall,1940.0
Melody Time,48,69,,1948-05-27,1948.0,,Clyde Geronimi,"['Kids & Family', 'Musical', 'Animation']",75,5.0,Spring,1940.0
So Dear to My Heart,50,,,1949-01-19,1949.0,G,Harold D. Schuster,"['Kids & Family', 'Drama']",85,1.0,Winter,1940.0
The Adventures of Ichabod and Mr. Toad,71,89,,1949-10-05,1949.0,G,Jack Kinney,"['Kids & Family', 'Fantasy', 'Animation']",68,10.0,Fall,1940.0
Cinderella,80,95,33500000,1950-02-15,1950.0,G,Clyde Geronimi,"['Kids & Family', 'Fantasy', 'Animation']",74,2.0,Winter,1950.0
Treasure Island,,82,,,,,Maurice Tourneur,['Adventure'],76,,,
Alice in Wonderland,,,,,,,Robson Lima,"['Kids & Family', 'Fantasy', 'Animation']",50,,,
The Story of Robin Hood and His Merrie Men,65,,,1952-06-26,1952.0,PG,Ken Annakin,"['Kids & Family', 'Adventure']",84,6.0,Summer,1950.0
Peter Pan,50,,,,,,,"['Fantasy', 'Animation']",46,,,
The Sword and the Rose,32,,,1953-07-23,1953.0,PG,Ken Annakin,['Adventure'],93,7.0,Summer,1950.0
The Living Desert,74,,,1953-11-10,1953.0,G,James Algar,['Documentary'],70,11.0,Fall,1950.0
"Rob Roy, the Highland Rogue",40,,,1954-02-27,1954.0,,Harold French,['Adventure'],89,2.0,Winter,1950.0
Vanishing Prairie,84,,,1954-08-17,1954.0,G,James Algar,['Documentary'],71,8.0,Summer,1950.0
"20,000 Leagues Under the Sea",74,91,,1954-12-23,1954.0,G,Richard Fleischer,"['Kids & Family', 'Drama', 'Adventure', 'Fantasy']",127,12.0,Winter,1950.0
Davy Crockett: King of the Wild Frontier,78,100,,1955-05-25,1955.0,PG,Norman Foster,"['Kids & Family', 'Adventure']",93,5.0,Spring,1950.0
Lady and the Tramp,80,91,,1955-06-22,1955.0,G,Clyde Geronimi,"['Kids & Family', 'Romance', 'Comedy', 'Animation']",76,6.0,Summer,1950.0
The African Lion,63,,,1955-09-14,1955.0,G,Alfred Milotte,['Documentary'],75,9.0,Fall,1950.0
The Littlest Outlaw,50,85,,1955-12-22,1955.0,,Roberto Gavaldón,"['Kids & Family', 'Drama']",75,12.0,Winter,1950.0
The Great Locomotive Chase,59,,,1956-01-26,1956.0,,Francis D. Lyon,"['History', 'Drama']",85,1.0,Winter,1950.0
Davy Crockett and the River Pirates,66,,,1956-07-18,1956.0,G,Norman Foster,"['Kids & Family', 'Adventure']",81,7.0,Summer,1950.0
The Secrets of Life,56,,,,,,James Algar,['Documentary'],75,,,
Westward Ho the Wagons!,44,,,,,,William Beaudine,['Western'],90,,,
Johnny Tremain,49,,,,,,Robert Stevenson,"['History', 'Drama']",80,,,
Perri,64,,,1957-08-28,1957.0,G,Paul Kenworthy Jr.,['Documentary'],74,8.0,Summer,1950.0
Old Yeller,79,100,,1957-12-25,1957.0,G,Robert Stevenson,"['Kids & Family', 'Drama']",83,12.0,Winter,1950.0
The Light in the Forest,46,,,,,,Herschel Daugherty,['Adventure'],95,,,
White Wilderness,22,,,1958-08-12,1958.0,G,James Algar,['Documentary'],73,8.0,Summer,1950.0
Tonka,69,,,,,,Lewis R. Foster,['Western'],97,,,
Sleeping Beauty,,,,,,,Koen Kessels,"['Music', 'Fantasy']",141,,,
The Shaggy Dog,,,,,,,Dennis Dugan,['Comedy'],96,,,
Darby O'Gill and the Little People,77,100,,1959-06-26,1959.0,G,Robert Stevenson,['Fantasy'],95,6.0,Summer,1950.0
Third Man on the Mountain,73,,,,,G,Ken Annakin,"['Kids & Family', 'Adventure']",107,,,
Toby Tyler,68,,,1960-01-21,1960.0,G,Charles Barton,"['Kids & Family', 'Adventure']",96,1.0,Winter,1960.0
Kidnapped,52,,,,,PG,Robert Stevenson,"['Adventure', 'Action']",94,,,
Pollyanna,44,,,,,,Paul Powell,"['Kids & Family', 'Comedy']",60,,,
The Sign of Zorro,48,,,,,G,Norman Foster,"['Kids & Family', 'Adventure']",91,,,
Jungle Cat,82,,,,,,James Algar,['Documentary'],70,,,
Ten Who Dared,22,,,,,,William Beaudine,['Adventure'],92,,,
Swiss Family Robinson,,,,,,,Leif Gram,"['Kids & Family', 'Adventure', 'Animation']",49,,,
101 Dalmatians,76,98,91300000,,,G,Wolfgang Reitherman,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",79,,,
The Absent Minded Professor,63,83,,,,G,Robert Stevenson,"['Kids & Family', 'Comedy']",97,,,
The Parent Trap,70,87,66300000,1998-07-20,1998.0,PG,Nancy Meyers,"['Kids & Family', 'Comedy']",127,7.0,Summer,1990.0
"Nikki, Wild Dog of the North",56,,,,,G,Jack Couffer,"['Kids & Family', 'Adventure']",74,,,
Greyfriars Bobby,79,100,,1961-07-17,1961.0,,Don Chaffey,"['Kids & Family', 'Drama']",91,7.0,Summer,1960.0
Babes in Toyland,41,,,,,G,Charles Grosvenor,"['Kids & Family', 'Holiday', 'Musical', 'Animation']",74,,,
Moon Pilot,50,,,,,,James Neilson,['Sci-Fi'],98,,,
Bon Voyage,,,,,,,Francoise Alexander,"['Crime', 'Drama']",19,,,
Big Red,45,,,1962-06-06,1962.0,,Norman Tokar,"['Kids & Family', 'Adventure']",89,6.0,Summer,1960.0
Almost Angels,62,,,1962-09-26,1962.0,,Steve Previn,"['Kids & Family', 'Drama']",93,9.0,Fall,1960.0
The Legend of Lobo,33,,,,,G,James Algar,"['Kids & Family', 'Adventure']",67,,,
In Search of the Castaways,63,,,1962-12-19,1962.0,G,Robert Stevenson,"['Kids & Family', 'Adventure']",100,12.0,Winter,1960.0
Son of Flubber,48,88,,1963-01-16,1963.0,G,Robert Stevenson,"['Kids & Family', 'Comedy']",100,1.0,Winter,1960.0
Miracle of the White Stallions,69,,,,,,Arthur Hiller,['Adventure'],117,,,
Savage Sam,47,50,,1963-06-01,1963.0,,Norman Tokar,['Adventure'],103,6.0,Summer,1960.0
Summer Magic,76,,,1963-07-07,1963.0,G,James Neilson,"['Kids & Family', 'Musical', 'Comedy']",100,7.0,Summer,1960.0
The Incredible Journey,74,89,,1963-10-30,1963.0,G,Fletcher Markle,"['Kids & Family', 'Adventure']",80,10.0,Fall,1960.0
The Sword in the Stone,,,,,,G,Wolfgang Reitherman,"['Kids & Family', 'Fantasy', 'Animation']",80,,,
A Tiger Walks,50,,,,,,Norman Tokar,['Drama'],91,,,
The Misadventures of Merlin Jones,60,,,1964-03-25,1964.0,G,Robert Stevenson,"['Kids & Family', 'Comedy']",93,3.0,Spring,1960.0
The Three Lives of Thomasina,73,,,,,PG,Don Chaffey,['Fantasy'],97,,,
The Moon-Spinners,61,,,1964-07-02,1964.0,PG,James Neilson,['Mystery & Thriller'],118,7.0,Summer,1960.0
Mary Poppins,86,97,,1964-08-27,1964.0,G,Robert Stevenson,"['Kids & Family', 'Musical']",140,8.0,Summer,1960.0
Those Calloways,52,,,1965-01-28,1965.0,PG,Norman Tokar,"['Kids & Family', 'Drama']",131,1.0,Winter,1960.0
Emil and the Detectives,43,83,,1964-12-18,1964.0,,Peter Tewksbury,"['Kids & Family', 'Adventure']",99,12.0,Winter,1960.0
The Monkey's Uncle,40,,,1965-06-23,1965.0,,Robert Stevenson,"['Kids & Family', 'Comedy']",90,6.0,Summer,1960.0
That Darn Cat,24,13,18300000,1997-02-14,1997.0,PG,Bob Spiers,"['Kids & Family', 'Comedy']",89,2.0,Winter,1990.0
The Ugly Dachshund,73,,,1966-02-04,1966.0,,Norman Tokar,"['Kids & Family', 'Comedy']",93,2.0,Winter,1960.0
"Lt. Robin Crusoe, U.S.N.",41,,,1966-06-29,1966.0,G,Byron Paul,"['Kids & Family', 'Comedy']",110,6.0,Summer,1960.0
The Fighting Prince of Donegal,15,,,1966-10-01,1966.0,,Michael O'Herlihy,['Adventure'],112,10.0,Fall,1960.0
"Follow Me, Boys!",76,,,1966-12-01,1966.0,G,Norman Tokar,"['Kids & Family', 'Comedy', 'Drama']",131,12.0,Winter,1960.0
"Monkeys, Go Home!",43,,,1967-02-08,1967.0,,Andrew V. McLaglen,"['Kids & Family', 'Romance', 'Comedy']",89,2.0,Winter,1960.0
The Adventures of Bullwhip Griffin,39,50,,,,,James Neilson,['Comedy'],110,,,
The Gnome-Mobile,59,,,1967-07-12,1967.0,G,Robert Stevenson,"['Kids & Family', 'Fantasy']",90,7.0,Summer,1960.0
The Jungle Book,79,,,,,G,Wolfgang Reitherman,"['Kids & Family', 'Adventure', 'Animation']",78,,,
"Charlie, the Lonesome Cougar",62,,,,,,Winston Hibler,"['Kids & Family', 'Adventure']",75,,,
The Happiest Millionaire,80,50,,1967-11-30,1967.0,G,Norman Tokar,"['Kids & Family', 'Musical']",164,11.0,Fall,1960.0
Blackbeard's Ghost,71,82,,,,G,Robert Stevenson,"['Kids & Family', 'Fantasy']",106,,,
The Family Band,60,,,,,G,Michael O'Herlihy,"['Kids & Family', 'Musical']",117,,,
Never a Dull Moment,29,,,,,,George Marshall,['Comedy'],89,,,
The Horse in the Gray Flannel Suit,69,,,,,G,Norman Tokar,['Comedy'],113,,,
Love Bug,,,,,,,Ben Kent,"['Comedy', 'Horror']",14,,,
Smith!,,,,1969-03-21,1969.0,G,Michael O'Herlihy,['Western'],101,3.0,Spring,1960.0
Rascal,42,,,1969-06-11,1969.0,G,Norman Tokar,"['Kids & Family', 'Comedy', 'Drama']",84,6.0,Summer,1960.0
The Computer Wore Tennis Shoes,40,57,,,,G,Robert Butler,"['Kids & Family', 'Comedy']",91,,,
King of the Grizzlies,25,,,,,G,Ron Kelly,"['Kids & Family', 'Adventure']",93,,,
The Boatniks,52,,,,,G,Norman Tokar,['Comedy'],100,,,
The Wild Country,,,,1970-12-15,1970.0,G,Robert Totten,"['Kids & Family', 'Adventure']",100,12.0,Winter,1970.0
The Aristocats,,,,,,G,Wolfgang Reitherman,"['Kids & Family', 'Comedy', 'Animation']",78,,,
The Barefoot Executive,,,,,,TV-G,Susan Seidelman,['Comedy'],97,,,
Scandalous John,,20,,,,G,Robert Butler,"['Western', 'Comedy']",114,,,
"$1,000,000 Duck",41,17,,,,G,Vincent McEveety,"['Kids & Family', 'Fantasy']",92,,,
Bedknobs and Broomsticks,74,66,,1971-10-07,1971.0,G,Robert Stevenson,"['Kids & Family', 'Fantasy']",117,10.0,Fall,1970.0
The Biscuit Eater,100,,,1940-05-24,1940.0,,Stuart Heisler,['Drama'],83,5.0,Spring,1940.0
"Now You See Him, Now You Don't",57,80,,,,G,Robert Butler,"['Kids & Family', 'Comedy']",88,,,
Napoleon and Samantha,43,,,1972-07-19,1972.0,G,Bernard McEveety,"['Kids & Family', 'Adventure']",92,7.0,Summer,1970.0
"Run, Cougar, Run",,,,,,G,Jerome Courtland,['Adventure'],86,,,
Snowball Express,60,,,,,G,Norman Tokar,"['Kids & Family', 'Comedy']",99,,,
The World's Greatest Athlete,33,,,1973-02-04,1973.0,G,Robert Scheerer,"['Kids & Family', 'Comedy']",93,2.0,Winter,1970.0
Charley and the Angel,32,,,1973-03-23,1973.0,G,Vincent McEveety,"['Kids & Family', 'Fantasy']",93,3.0,Spring,1970.0
One Little Indian,34,,,1973-06-20,1973.0,G,Bernard McEveety,"['Western', 'Comedy']",90,6.0,Summer,1970.0
Robin Hood,,,,,,,,"['Adventure', 'Action', 'Animation']",86,,,
Superdad,35,,,,,G,Vincent McEveety,"['Kids & Family', 'Comedy']",95,,,
Herbie Rides Again,54,83,,,,G,Robert Stevenson,"['Kids & Family', 'Comedy']",88,,,
The Bears and I,31,,,1974-07-31,1974.0,G,Bernard McEveety,"['Kids & Family', 'Adventure']",89,7.0,Summer,1970.0
The Castaway Cowboy,24,,,1974-08-01,1974.0,G,Vincent McEveety,"['Kids & Family', 'Comedy']",91,8.0,Summer,1970.0
The Island at the Top of the World,46,50,,1974-12-20,1974.0,G,Robert Stevenson,"['Kids & Family', 'Adventure']",95,12.0,Winter,1970.0
The Strongest Man in the World,38,,,1975-02-06,1975.0,G,Vincent McEveety,"['Kids & Family', 'Comedy']",92,2.0,Winter,1970.0
Escape to Witch Mountain,59,87,,1975-03-21,1975.0,G,John Hough,"['Kids & Family', 'Sci-Fi']",97,3.0,Spring,1970.0
The Apple Dumpling Gang,60,60,,1975-07-01,1975.0,G,Norman Tokar,"['Western', 'Comedy']",100,7.0,Summer,1970.0
One of Our Dinosaurs Is Missing,68,,,1975-07-09,1975.0,G,Robert Stevenson,"['Kids & Family', 'Adventure']",93,7.0,Summer,1970.0
The Best of Walt Disney's True-Life Adventures,,,,,,G,James Algar,['Documentary'],88,,,
Ride a Wild Pony,55,,,1975-12-25,1975.0,G,Don Chaffey,"['Kids & Family', 'Adventure']",99,12.0,Winter,1970.0
"No Deposit, No Return",66,,,1976-02-05,1976.0,G,Norman Tokar,"['Kids & Family', 'Comedy']",112,2.0,Winter,1970.0
Treasure of Matecumbe,47,,,,,G,Vincent McEveety,"['Kids & Family', 'Adventure']",117,,,
Gus,56,,,1976-07-07,1976.0,G,Vincent McEveety,"['Kids & Family', 'Fantasy']",96,7.0,Summer,1970.0
The Shaggy D.A.,39,50,,1976-12-17,1976.0,G,Robert Stevenson,"['Kids & Family', 'Comedy']",91,12.0,Winter,1970.0
Freaky Friday,58,88,110200000,2003-08-06,2003.0,PG,Mark Waters,"['Kids & Family', 'Comedy', 'Fantasy']",97,8.0,Summer,2000.0
The Littlest Horse Thieves,60,,,,,G,Charles Jarrott,"['Kids & Family', 'Adventure']",104,,,
The Many Adventures of Winnie the Pooh,,,,,,TV-G,John Lounsbery,"['Kids & Family', 'Fantasy', 'Animation']",74,,,
The Rescuers,,,,,,,Michael King,['Documentary'],99,,,
Herbie Goes to Monte Carlo,57,60,,1977-06-24,1977.0,G,Vincent McEveety,"['Kids & Family', 'Comedy']",105,6.0,Summer,1970.0
Pete's Dragon,60,56,,1977-11-03,1977.0,G,Don Chaffey,"['Kids & Family', 'Fantasy']",134,11.0,Fall,1970.0
Candleshoe,71,,,1977-12-16,1977.0,G,Norman Tokar,"['Kids & Family', 'Comedy']",101,12.0,Winter,1970.0
Return From Witch Mountain,39,55,,1978-03-10,1978.0,G,John Hough,"['Kids & Family', 'Sci-Fi']",95,3.0,Spring,1970.0
The Cat From Outer Space,59,67,,1978-06-09,1978.0,G,Norman Tokar,"['Kids & Family', 'Comedy']",103,6.0,Summer,1970.0
Hot Lead and Cold Feet,64,,,,,G,Robert Butler,"['Western', 'Comedy']",90,,,
The North Avenue Irregulars,79,88,,,,G,Bruce Bilson,['Comedy'],99,,,
The Apple Dumpling Gang Rides Again,53,,,1979-06-27,1979.0,G,Vincent McEveety,"['Kids & Family', 'Western', 'Comedy']",88,6.0,Summer,1970.0
A Spaceman in King Arthur's Court,30,,,,,G,Russ Mayberry,"['Kids & Family', 'Comedy']",93,,,
Mind's Eye,,,,,,,Mark Steven Grove,"['Sci-Fi', 'Mystery & Thriller']",111,,,
Midnight Madness,71,,,1980-02-08,1980.0,PG,David Wechter,['Comedy'],110,2.0,Winter,1980.0
The Watcher in the Woods,50,,,,,TV-PG,Melissa Joan Hart,['Mystery & Thriller'],90,,,
Herbie Goes Bananas,36,40,,1980-06-25,1980.0,G,Vincent McEveety,"['Kids & Family', 'Comedy']",100,6.0,Summer,1980.0
The Last Flight of Noah's Ark,40,,,1980-06-25,1980.0,G,Charles Jarrott,"['Kids & Family', 'Adventure']",97,6.0,Summer,1980.0
Popeye,,,,,,,Dave Fleischer,"['Comedy', 'Animation']",58,,,
The Devil and Max Devlin,26,17,,,,PG,Steven Hilliard Stern,['Fantasy'],96,,,
Amy,75,,,,,G,Vincent McEveety,['Drama'],100,,,
Dragonslayer,63,84,,1981-06-26,1981.0,PG,Matthew Robbins,"['Fantasy', 'Adventure']",109,6.0,Summer,1980.0
The Fox and the Hound,,,,,,,Ted Berman,['Adventure'],83,,,
Condorman,65,27,,,,PG,Charles Jarrott,"['Kids & Family', 'Comedy']",90,,,
Night Crossing,66,,,1982-02-05,1982.0,PG,Delbert Mann,['Drama'],106,2.0,Winter,1980.0
Tron,69,60,,1982-07-09,1982.0,PG,Steven Lisberger,"['Sci-Fi', 'Action']",96,7.0,Summer,1980.0
Tex,66,83,,1982-07-30,1982.0,PG,Tim Hunter,['Drama'],103,7.0,Summer,1980.0
Trenchcoat,33,,,,,PG,Michael Tuchner,['Mystery & Thriller'],91,,,
Something Wicked This Way Comes,64,63,,,,PG,Jack Clayton,['Horror'],94,,,
Never Cry Wolf,84,100,,1983-10-14,1983.0,PG,Carroll Ballard,"['Adventure', 'Drama']",106,10.0,Fall,1980.0
Return to Oz,,,,1964-02-09,1964.0,,F.R. Crawley,"['Musical', 'Animation']",51,2.0,Winter,1960.0
The Black Cauldron,,,,,,PG,Ted Berman,"['Kids & Family', 'Fantasy', 'Animation']",80,,,
The Journey of Natty Gann,77,91,8500000,1985-09-27,1985.0,PG,Jeremy Kagan,"['Kids & Family', 'Adventure']",101,9.0,Fall,1980.0
One Magic Christmas,68,47,12400000,,,G,Phillip Borsos,"['Kids & Family', 'Holiday', 'Fantasy']",88,,,
The Great Mouse Detective,79,78,37300000,1986-07-02,1986.0,G,John Musker,"['Kids & Family', 'Adventure', 'Animation']",80,7.0,Summer,1980.0
Flight of the Navigator,76,85,17200000,1986-07-30,1986.0,PG,Randal Kleiser,"['Kids & Family', 'Sci-Fi', 'Adventure']",89,7.0,Summer,1980.0
Benji the Hunted,61,55,22000000,1987-06-04,1987.0,G,Joe Camp,"['Kids & Family', 'Adventure']",88,6.0,Summer,1980.0
Return to Snowy River,83,,13700000,,,PG,Geoff Burrowes,['Western'],99,,,
Oliver & Company,62,52,,1988-11-18,1988.0,G,George Scribner,"['Kids & Family', 'Adventure', 'Animation']",72,11.0,Fall,1980.0
"Honey, I Shrunk the Kids",54,76,130200000,1989-06-23,1989.0,PG,Joe Johnston,"['Kids & Family', 'Comedy']",90,6.0,Summer,1980.0
Cheetah,54,43,7900000,1989-08-18,1989.0,G,Jeff Blyth,"['Kids & Family', 'Adventure']",83,8.0,Summer,1980.0
The Little Mermaid,53,,,,,,Masakazu Higuchi,"['Adventure', 'Fantasy', 'Romance', 'Animation']",50,,,
"DuckTales, the Movie: Treasure of the Lost Lamp",69,66,18100000,1990-08-03,1990.0,G,Gaëtan Brizzi,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",73,8.0,Summer,1990.0
The Rescuers Down Under,68,85,,1990-11-16,1990.0,G,Hendel Butoy,"['Kids & Family', 'Adventure', 'Animation']",74,11.0,Fall,1990.0
White Fang,25,,,,,PG,Lucio Fulci,"['Adventure', 'Western']",97,,,
Shipwrecked,68,,14900000,,,TV-PG,Nils Gaup,"['Kids & Family', 'Adventure']",91,,,
Wild Hearts Can't Be Broken,89,73,7300000,1991-05-12,1991.0,G,Steve Miner,"['Kids & Family', 'Drama']",88,5.0,Spring,1990.0
The Rocketeer,,,,,,,Richard Raaphorst,['Drama'],30,,,
Beauty and the Beast,90,96,138200,1947-01-01,1947.0,,Jean Cocteau,['Fantasy'],95,1.0,Winter,1940.0
Newsies,88,39,2700000,1992-04-10,1992.0,PG,Kenny Ortega,"['Kids & Family', 'Musical', 'Drama']",121,4.0,Spring,1990.0
"Honey, I Blew Up the Kid",24,38,58700000,1992-07-17,1992.0,PG,Randal Kleiser,"['Kids & Family', 'Comedy']",89,7.0,Summer,1990.0
The Mighty Ducks,65,27,50700000,1992-10-02,1992.0,PG,Stephen Herek,"['Kids & Family', 'Comedy']",101,10.0,Fall,1990.0
Aladdin,94,57,355600000,2019-05-24,2019.0,PG,Guy Ritchie,"['Kids & Family', 'Musical', 'Comedy', 'Fantasy', 'Adventure', 'Romance']",128,5.0,Spring,2010.0
The Muppet Christmas Carol,86,78,27400000,1992-12-11,1992.0,G,Brian Henson,"['Kids & Family', 'Holiday', 'Fantasy']",85,12.0,Winter,1990.0
Homeward Bound: The Incredible Journey,71,87,41600000,1993-02-03,1993.0,G,Duwayne Dunham,"['Kids & Family', 'Adventure']",84,2.0,Winter,1990.0
A Far Off Place,69,42,12900000,1993-03-12,1993.0,PG,Mikael Salomon,"['Kids & Family', 'Adventure']",105,3.0,Spring,1990.0
The Adventures of Huck Finn,50,75,23800000,1993-04-02,1993.0,PG,Stephen Sommers,"['Kids & Family', 'Comedy', 'Drama']",108,4.0,Spring,1990.0
Hocus Pocus,72,42,1700000,1993-07-16,1993.0,PG,Kenny Ortega,"['Kids & Family', 'Holiday', 'Comedy', 'Fantasy']",95,7.0,Summer,1990.0
Cool Runnings: The Reggae Movie,43,,,,,,Robert Mugge,['Documentary'],105,,,
The Three Musketeers,,,,1992-06-01,1992.0,,,"['Kids & Family', 'Adventure', 'Romance', 'Animation']",50,6.0,Summer,1990.0
Iron Will,66,67,20600000,,,PG,Charlie Haid,['Adventure'],108,,,
Blank Check,35,9,30600000,1994-02-11,1994.0,PG,Rupert Wainwright,"['Kids & Family', 'Comedy']",93,2.0,Winter,1990.0
