Title,Audience-Score,Critic-Score,Revenue,Release-Date,Year,Film-Rating,Director,Genre,Runtime,month,season,Decade
Race to Witch Mountain,44,41,67100000,2009-03-13,2009.0,PG,Andy Fickman,"['Kids & Family', 'Adventure', 'Action', 'Sci-Fi']",99,3.0,Spring,2000.0
Hannah Montana: The Movie,67,43,79600000,2009-04-10,2009.0,G,Peter Chelsom,"['Kids & Family', 'Musical', 'Comedy']",92,4.0,Spring,2000.0
Earth,,,,,,,Marco De Angelis,"['Sci-Fi', 'Fantasy']",63,,,
Touch of the Panda,65,,,,,G,Yu Zhong,"['Kids & Family', 'Drama']",88,,,
The Boys: The Sherman Brothers' Story,87,91,54900,2009-05-22,2009.0,PG,Gregory V. Sherman,['Documentary'],101,5.0,Spring,2000.0
Up,90,98,,2009-05-29,2009.0,PG,Pete Docter,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",96,5.0,Spring,2000.0
Lilly the Witch: The Dragon and the Magic Book,27,,,,,,Stefan Ruzowitzky,"['Kids & Family', 'Fantasy']",89,,,
G-Force,40,22,119400000,2009-07-24,2009.0,PG,Hoyt H. Yeatman Jr.,"['Kids & Family', 'Action', 'Adventure', 'Comedy']",88,7.0,Summer,2000.0
Ponyo,84,91,15100000,2009-08-14,2009.0,G,Hayao Miyazaki,"['Adventure', 'Fantasy', 'Anime']",100,8.0,Summer,2000.0
Walt & El Grupo,44,57,19900,2009-09-09,2009.0,PG,Theodore Thomas,['Documentary'],106,9.0,Fall,2000.0
Tinker Bell and the Lost Treasure,73,100,,,,G,Klay Hall,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",76,,,
The Book of Masters,,,,,,,Vadim Sokolovsky,['Fantasy'],91,,,
Disney's A Christmas Carol,58,52,137900000,2009-11-06,2009.0,PG,Robert Zemeckis,"['Kids & Family', 'Holiday', 'Fantasy', 'Drama', 'Animation']",95,11.0,Fall,2000.0
Santa Buddies,56,20,,,,G,Robert Vince,"['Kids & Family', 'Holiday', 'Comedy', 'Adventure']",88,,,
Old Dogs,44,5,49500000,2009-11-25,2009.0,PG,Walt Becker,"['Kids & Family', 'Comedy']",88,11.0,Fall,2000.0
The Princess and the Frog,,,,,,G,Ron Clements,"['Kids & Family', 'Comedy', 'Adventure', 'Musical', 'Fantasy', 'Animation']",95,,,
High School Musical: El desafío,46,,,,,,César Rodrigues,['Musical'],90,,,
Waking Sleeping Beauty,80,71,80200,2010-03-26,2010.0,PG,Don Hahn,['Documentary'],86,3.0,Spring,2010.0
Oceans,75,81,19400000,2010-04-22,2010.0,G,Jacques Perrin,['Documentary'],102,4.0,Spring,2010.0
Prince of Persia: The Sands of Time,58,37,90800000,2010-05-28,2010.0,PG-13,Mike Newell,"['Adventure', 'Action', 'Fantasy']",116,5.0,Spring,2010.0
Toy Story 3,90,98,415000000,2010-06-18,2010.0,G,Lee Unkrich,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",102,6.0,Summer,2010.0
The Sorcerer's Apprentice,,,,,,,Peter Sander,"['Drama', 'Action', 'Animation']",25,,,
Tales From Earthsea,46,37,,2010-08-13,2010.0,PG-13,Goro Miyazaki,"['Adventure', 'Fantasy', 'Anime']",115,8.0,Summer,2010.0
The Crimson Wing: Mystery of the Flamingos,75,75,,,,G,Matthew Aeberhard,['Documentary'],77,,,
Tinker Bell and the Great Fairy Rescue,76,70,,,,G,Bradley Raymond,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",73,,,
Fuchsia the Mini-Witch,64,,,,,PG,Johan Nijenhuis,"['Kids & Family', 'Adventure', 'Fantasy']",88,,,
Secretariat,76,64,59700000,2010-10-08,2010.0,PG,Randall Wallace,"['Drama', 'Biography']",123,10.0,Fall,2010.0
Do Dooni Chaar,75,,,,,PG,Habib Faisal,"['Comedy', 'Drama']",112,,,
The Search for Santa Paws,61,,,,,G,Robert Vince,"['Kids & Family', 'Holiday', 'Comedy', 'Adventure']",96,,,
Tangled,87,89,200800000,2010-11-24,2010.0,PG,Nathan Greno,"['Kids & Family', 'Musical', 'Comedy', 'Fantasy', 'Adventure', 'Animation']",101,11.0,Fall,2010.0
Tron: Legacy,64,51,172100000,2010-12-17,2010.0,PG,Joseph Kosinski,"['Sci-Fi', 'Action']",125,12.0,Winter,2010.0
Anaganaga O Dheerudu,57,,,,,PG-13,Prakesh Kovelamudi,"['Adventure', 'Fantasy']",133,,,
Beverly Hills Chihuahua 2,49,,,,,G,Alex Zamm,"['Kids & Family', 'Comedy']",84,,,
Lilly the Witch: The Journey to Mandolan,,,,,,,Harald Sicheritz,"['Kids & Family', 'Fantasy', 'Comedy']",87,,,
Mars Needs Moms,40,34,21400000,2011-03-11,2011.0,PG,Simon Wells,"['Kids & Family', 'Comedy', 'Sci-Fi', 'Adventure', 'Animation']",88,3.0,Spring,2010.0
Zokkomon,50,,,2011-04-22,2011.0,PG,Satyajit Bhatkal,"['Action', 'Adventure']",109,4.0,Spring,2010.0
African Cats,77,73,15400000,2011-04-22,2011.0,G,Keith Scholey,['Documentary'],90,4.0,Spring,2010.0
Prom,39,36,10100000,2011-04-29,2011.0,PG,Joe Nussbaum,"['Comedy', 'Drama']",103,4.0,Spring,2010.0
Pirates of the Caribbean: On Stranger Tides,54,32,241100000,2011-05-20,2011.0,PG-13,Rob Marshall,"['Adventure', 'Action', 'Fantasy']",136,5.0,Spring,2010.0
Cars 2,50,40,,2011-06-24,2011.0,G,John Lasseter,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",107,6.0,Summer,2010.0
Winnie the Pooh,,,,,,,,"['Drama', 'Animation']",45,,,
Spooky Buddies,52,,,,,G,Robert Vince,"['Kids & Family', 'Adventure']",88,,,
The Muppets,80,95,88600000,2011-11-23,2011.0,PG,James Bobin,"['Kids & Family', 'Comedy']",98,11.0,Fall,2010.0
Treasure Buddies,53,,,,,G,Robert Vince,"['Kids & Family', 'Comedy', 'Adventure']",92,,,
The Secret World of Arrietty,86,94,,2012-02-17,2012.0,G,Hiromasa Yonebayashi,"['Kids & Family', 'Fantasy', 'Adventure', 'Anime']",95,2.0,Winter,2010.0
John Carter,60,52,73100000,2012-03-09,2012.0,PG-13,Andrew Stanton,"['Sci-Fi', 'Action', 'Adventure']",132,3.0,Spring,2010.0
Chimpanzee,75,74,29000000,2012-04-20,2012.0,G,Alastair Fothergill,['Documentary'],78,4.0,Spring,2010.0
Arjun: The Warrior Prince,64,67,7100,2012-05-25,2012.0,,Arnab Chaudhuri,"['Kids & Family', 'Adventure', 'History', 'Drama', 'Animation']",96,5.0,Spring,2010.0
Brave,75,78,,2012-06-22,2012.0,PG,Mark Andrews,"['Kids & Family', 'Adventure', 'Comedy', 'Animation']",93,6.0,Summer,2010.0
The Odd Life of Timothy Green,67,36,51900000,2012-08-15,2012.0,PG,Peter Hedges,"['Kids & Family', 'Comedy', 'Drama', 'Fantasy']",104,8.0,Summer,2010.0
Beverly Hills Chihuahua 3: ¡Viva la Fiesta!,57,,,,,G,Lev Spiro,"['Kids & Family', 'Comedy']",90,,,
Frankenweenie,70,87,,2012-10-05,2012.0,PG,Tim Burton,"['Kids & Family', 'Fantasy', 'Animation']",87,10.0,Fall,2010.0
Secret of the Wings,78,62,,,,G,Peggy Holmes,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",71,,,
Wreck-It Ralph,86,87,189400000,2012-11-02,2012.0,PG,Rich Moore,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",101,11.0,Fall,2010.0
Oz the Great and Powerful,56,56,234900000,2013-03-08,2013.0,PG,Sam Raimi,"['Kids & Family', 'Fantasy', 'Adventure']",130,3.0,Spring,2010.0
Hidden Beauty: A Love Story That Feeds the Earth,79,,,,,G,Louie Schwartzberg,['Documentary'],77,,,
Monsters University,81,80,268500000,2013-06-21,2013.0,G,Dan Scanlon,"['Kids & Family', 'Comedy', 'Fantasy', 'Adventure', 'Animation']",102,6.0,Summer,2010.0
The Lone Ranger,51,31,89300000,2013-07-03,2013.0,PG-13,Gore Verbinski,"['Western', 'Action', 'Adventure']",149,7.0,Summer,2010.0
Planes,49,26,90300000,2013-08-09,2013.0,PG,Klay Hall,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",92,8.0,Summer,2010.0
Super Buddies,55,,,,,G,Robert Vince,"['Kids & Family', 'Comedy', 'Adventure']",81,,,
Frozen,62,50,5700,,,,Wang Xiaoshuai,['Drama'],99,,,
Saving Mr. Banks,84,79,83300000,2013-12-20,2013.0,PG-13,John Lee Hancock,"['Drama', 'Comedy']",125,12.0,Winter,2010.0
Muppets Most Wanted,59,80,51200000,2014-03-21,2014.0,PG,James Bobin,"['Kids & Family', 'Comedy', 'Adventure']",106,3.0,Spring,2010.0
The Pirate Fairy,70,81,,,,G,Peggy Holmes,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",79,,,
Bears,78,88,17800000,2014-04-18,2014.0,G,Alastair Fothergill,['Documentary'],77,4.0,Spring,2010.0
Million Dollar Arm,68,65,36400000,2014-05-16,2014.0,PG,Craig Gillespie,['Drama'],123,5.0,Spring,2010.0
Maleficent,70,54,241400000,2014-05-30,2014.0,PG,Robert Stromberg,"['Fantasy', 'Adventure', 'Action']",98,5.0,Spring,2010.0
Planes: Fire & Rescue,56,44,59200000,2014-07-18,2014.0,PG,Bobs Gannaway,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",83,7.0,Summer,2010.0
Khoobsurat,35,,,1999-11-26,1999.0,,Shashanka Ghosh,"['Romance', 'Comedy']",153,11.0,Fall,1990.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",58,62,67000000,2014-10-10,2014.0,PG,Miguel Arteta,"['Kids & Family', 'Comedy']",81,10.0,Fall,2010.0
Big Hero 6,91,90,222500000,2014-11-07,2014.0,PG,Don Hall,"['Kids & Family', 'Comedy', 'Adventure', 'Action', 'Sci-Fi', 'Animation']",102,11.0,Fall,2010.0
Into the Woods,49,70,128000000,2014-12-25,2014.0,PG,Rob Marshall,"['Musical', 'Fantasy']",124,12.0,Winter,2010.0
"McFarland, USA",88,80,44500000,2015-02-20,2015.0,PG,Niki Caro,"['Drama', 'Biography']",129,2.0,Winter,2010.0
Tinker Bell and the Legend of the NeverBeast,77,75,,,,G,Steve Loter,"['Kids & Family', 'Adventure', 'Fantasy', 'Animation']",76,,,
Monkey Kingdom,76,93,16400000,2015-04-17,2015.0,G,Mark Linfield,['Documentary'],82,4.0,Spring,2010.0
Tomorrowland,50,49,93400000,2015-05-22,2015.0,PG,Brad Bird,"['Sci-Fi', 'Adventure', 'Mystery & Thriller']",129,5.0,Spring,2010.0
Inside Out,37,,,,,,David Ogden,['Mystery & Thriller'],95,,,
ABCD 2,39,53,889700,2015-06-19,2015.0,,Remo D'Souza,['Drama'],152,6.0,Summer,2010.0
The Good Dinosaur,64,76,123100000,2015-11-25,2015.0,PG,Peter Sohn,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",92,11.0,Fall,2010.0
The Finest Hours,66,64,27600000,2016-01-29,2016.0,PG-13,Craig Gillespie,"['Adventure', 'Action', 'Mystery & Thriller', 'History', 'Drama']",116,1.0,Winter,2010.0
Zootopia,92,98,,2016-03-04,2016.0,PG,Byron Howard,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",108,3.0,Spring,2010.0
Tini: The Movie,70,,,,,G,Juan Pablo Buscarini,"['Romance', 'Adventure']",95,,,
Alice Through the Looking Glass,50,,,,,TV-PG,John Henderson,"['Kids & Family', 'Fantasy']",83,,,
Finding Dory,84,94,486200000,2016-06-17,2016.0,PG,Andrew Stanton,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",103,6.0,Summer,2010.0
The BFG,64,,,,,,Brian Cosgrove,"['Kids & Family', 'Fantasy', 'Animation']",87,,,
Queen of Katwe,86,94,8900000,2016-09-30,2016.0,PG,Mira Nair,"['Biography', 'Drama']",124,9.0,Fall,2010.0
Moana,57,87,,1926-01-07,1926.0,,Robert J. Flaherty,['Documentary'],77,1.0,Winter,1920.0
Growing Up Wild,87,,,,,G,Keith Scholey,['Documentary'],78,,,
Dangal Yuddham,93,89,12400000,2016-12-21,2016.0,,Nitesh Tiwari,"['Biography', 'Drama', 'Action']",161,12.0,Winter,2010.0
March of the Penguins 2: The Next Step,88,100,,,,,Luc Jacquet,"['Documentary', 'Nature']",82,,,
Born in China,73,83,13900000,2017-04-21,2017.0,G,Chuan Lu,['Documentary'],79,4.0,Spring,2010.0
Pirates of the Caribbean: Dead Men Tell No Tales,60,30,172500000,2017-05-26,2017.0,PG-13,Joachim Rønning,"['Adventure', 'Action', 'Fantasy']",123,5.0,Spring,2010.0
Cars 3,69,70,152900000,2017-06-16,2017.0,G,Brian Fee,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",109,6.0,Summer,2010.0
Disneynature: Ghost of the Mountains,90,,,,,G,Ben Wallis,['Documentary'],89,,,
Jagga Jasoos,67,83,854200,,,,Anurag Basu,"['Musical', 'Adventure', 'Romance', 'Comedy']",180,,,
The Last Warrior,,40,,,,R,Martin Wragge,['War'],94,,,
Coco,15,,,,,,Gad Elmaleh,['Comedy'],95,,,
Disneynature: Expedition China,,,,,,,,[],,,,
A Wrinkle in Time,40,,,,,TV-PG,John Kent Harrison,"['Kids & Family', 'Adventure', 'Fantasy']",129,,,
Incredibles 2,84,93,608600000,2018-06-15,2018.0,PG,Brad Bird,"['Kids & Family', 'Comedy', 'Adventure', 'Action', 'Animation']",118,6.0,Summer,2010.0
Christopher Robin,83,73,99200000,2018-08-03,2018.0,PG,Marc Forster,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy']",104,8.0,Summer,2010.0
The Nutcracker and the Four Realms,35,32,54800000,2018-11-02,2018.0,PG,Lasse Hallström,"['Kids & Family', 'Holiday', 'Fantasy', 'Adventure']",99,11.0,Fall,2010.0
Ralph Breaks the Internet,64,88,201100000,2018-11-21,2018.0,PG,Phil Johnston,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",112,11.0,Fall,2010.0
Mary Poppins Returns,65,79,172000000,2018-12-19,2018.0,PG,Rob Marshall,"['Kids & Family', 'Musical', 'Fantasy', 'Adventure']",130,12.0,Winter,2010.0
Penguins,81,92,7700000,2019-04-17,2019.0,G,Jeff Wilson,['Documentary'],76,4.0,Spring,2010.0
Toy Story 4,94,96,434000000,2019-06-21,2019.0,G,Josh Cooley,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",100,6.0,Summer,2010.0
Maleficent: Mistress of Evil,95,40,113900000,2019-10-18,2019.0,PG,Joachim Rønning,"['Fantasy', 'Adventure']",118,10.0,Fall,2010.0
Lady and the Tramp,80,91,,1955-06-22,1955.0,G,Clyde Geronimi,"['Kids & Family', 'Romance', 'Comedy', 'Animation']",76,6.0,Summer,1950.0
Noëlle,59,50,242900,2007-12-07,2007.0,PG,David Wall,"['Holiday', 'Drama', 'Romance']",101,12.0,Winter,2000.0
Frozen II,92,77,477400000,2019-11-22,2019.0,PG,Chris Buck,"['Kids & Family', 'Musical', 'Comedy', 'Adventure', 'Animation']",103,11.0,Fall,2010.0
Togo,67,80,,,,,Israel Adrián Caetano,"['Mystery & Thriller', 'Drama']",92,,,
Timmy Failure: Mistakes Were Made,62,85,,,,PG,Tom McCarthy,"['Kids & Family', 'Adventure', 'Comedy', 'Drama']",99,,,
Onward,95,88,60400000,2020-03-06,2020.0,PG,Dan Scanlon,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",103,3.0,Spring,2020.0
Stargirl,69,69,,,,PG,Julia Hart,"['Kids & Family', 'Romance', 'Comedy', 'Drama']",107,,,
Disneynature: Dolphin Reef,91,100,,,,,Keith Scholey,['Documentary'],77,,,
Elephant,78,74,1300000,2003-10-24,2003.0,R,Gus Van Sant,"['Drama', 'Crime']",81,10.0,Fall,2000.0
Artemis Fowl,19,8,,,,PG,Kenneth Branagh,"['Fantasy', 'Adventure']",93,,,
Hamilton,99,98,16900000,2025-09-05,2025.0,PG-13,Thomas Kail,['Musical'],161,9.0,Fall,2020.0
Black Is King,89,94,,,,TV-14,Beyoncé,['Music'],85,,,
Magic Camp,75,100,,2013-06-28,2013.0,,Judd Ehrlich,['Documentary'],86,6.0,Summer,2010.0
The One and Only Ivan,65,72,,,,PG,Thea Sharrock,"['Kids & Family', 'Comedy', 'Adventure']",93,,,
Mulan,85,91,120600000,1998-06-19,1998.0,G,Barry Cook,"['Kids & Family', 'Musical', 'Animation']",87,6.0,Summer,1990.0
Godmothered,57,68,,,,PG,Sharon Maguire,"['Comedy', 'Fantasy']",110,,,
Safety,78,78,,,,PG,Reginald Hudlin,"['Biography', 'Drama']",122,,,
Soul,88,95,870600,2024-01-12,2024.0,PG,Pete Docter,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",100,1.0,Winter,2020.0
The Last Warrior: Root of Evil,,,,,,,Dmitriy Dyachenko,['Fantasy'],121,,,
Flora and Ulysses,60,73,,,,,Lena Khan,"['Adventure', 'Fantasy', 'Kids & Family', 'Comedy']",95,,,
Raya and the Last Dragon,97,93,54700000,2021-03-05,2021.0,PG,Don Hall,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",108,3.0,Spring,2020.0
Cruella,97,75,86100000,2021-05-28,2021.0,PG-13,Craig Gillespie,"['Comedy', 'Kids & Family']",134,5.0,Spring,2020.0
Lucía,86,,,,,,Niles Atallah,['Drama'],80,,,
Jungle Cruise,92,62,117000000,2021-07-30,2021.0,PG-13,Jaume Collet-Serra,"['Adventure', 'Action', 'Comedy', 'Fantasy']",127,7.0,Summer,2020.0
Encanto,93,92,96100000,2021-11-24,2021.0,PG,Jared Bush,"['Kids & Family', 'Musical', 'Comedy', 'Fantasy', 'Animation']",99,11.0,Fall,2020.0
Diary of a Wimpy Kid,50,54,64000000,2010-03-19,2010.0,PG,Thor Freudenthal,"['Kids & Family', 'Comedy']",92,3.0,Spring,2010.0
The Last Warrior,67,,,,,,Dmitriy Dyachenko,"['Fantasy', 'Comedy', 'Adventure']",114,,,
The Ice Age Adventures of Buck Wild,32,19,,,,PG,John C. Donkin,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",81,,,
The Beatles: Get Back - The Rooftop Concert,94,100,970900,2022-01-30,2022.0,PG-13,Peter Jackson,"['Documentary', 'Music']",94,1.0,Winter,2020.0
Turning Red,67,95,1300000,2024-02-09,2024.0,PG,Domee Shi,"['Kids & Family', 'Comedy', 'Fantasy', 'Animation']",100,2.0,Winter,2020.0
Cheaper by the Dozen,56,25,138600000,2003-12-25,2003.0,PG,Shawn Levy,['Comedy'],98,12.0,Winter,2000.0
Better Nate Than Ever,75,83,,,,PG,Tim Federle,"['Kids & Family', 'Musical', 'Comedy']",91,,,
Polar Bear,63,72,,,,PG,Alastair Fothergill,"['Documentary', 'Kids & Family', 'Nature']",84,,,
Chip 'n' Dale: Rescue Rangers,79,81,,,,PG,Akiva Schaffer,"['Kids & Family', 'Comedy', 'Adventure']",96,,,
Hollywood Stargirl,73,94,,,,PG,Julia Hart,"['Kids & Family', 'Romance', 'Drama', 'Comedy']",103,,,
Lightyear,84,74,118300000,2022-06-17,2022.0,PG,Angus MacLane,"['Kids & Family', 'Comedy', 'Adventure', 'Sci-Fi', 'Animation', 'Action']",100,6.0,Summer,2020.0
Rise,81,100,,2023-06-02,2023.0,,Cédric Klapisch,"['Comedy', 'Drama']",117,6.0,Summer,2020.0
Pinocchio,33,0,3700000,2002-12-25,2002.0,G,Roberto Benigni,"['Kids & Family', 'Fantasy', 'Comedy', 'Drama']",107,12.0,Winter,2000.0
Hocus Pocus 2,47,65,,,,PG,Anne Fletcher,"['Kids & Family', 'Holiday', 'Comedy', 'Fantasy']",103,,,
The Disenchanted,41,100,5100,,,,Benoît Jacquot,['Drama'],79,,,
Strange World,66,72,38000000,2022-11-23,2022.0,PG,Don Hall,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation', 'Action']",105,11.0,Fall,2020.0
Diary of a Wimpy Kid: Rodrick Rules,46,56,,,,PG,Luke Cormican,"['Kids & Family', 'Comedy', 'Adventure', 'Drama', 'Animation']",100,,,
Night at the Museum: Kahmunrah Rises Again,36,77,,,,PG,Matt Danner,"['Kids & Family', 'Fantasy', 'Comedy', 'Adventure', 'Animation']",77,,,
Chang Can Dunk,71,96,,,,PG,Jingyi Shao,"['Kids & Family', 'Comedy', 'Sports']",109,,,
Peter Pan & Wendy,11,63,,,,PG,David Lowery,"['Kids & Family', 'Fantasy', 'Adventure']",106,,,
Crater,,,,,,,Luca Bellino,['Drama'],93,,,
Elemental,60,100,,,,,Gayatri Roshan,['Documentary'],92,,,
World's Best,81,100,,,,PG,Roshan Sethi,"['Musical', 'Comedy', 'Adventure']",101,,,
Indiana Jones and the Dial of Destiny,87,71,174500000,2023-06-30,2023.0,PG-13,James Mangold,"['Adventure', 'Action']",144,6.0,Summer,2020.0
The Haunted Mansion,31,14,75800000,2003-11-26,2003.0,PG,Rob Minkoff,"['Kids & Family', 'Comedy', 'Fantasy']",88,11.0,Fall,2000.0
Dashing Through the Snow,63,30,,,,PG,Tim Story,"['Kids & Family', 'Holiday', 'Comedy', 'Adventure', 'Fantasy']",90,,,
Wish,,,,,,,Lee Seong-han,"['Drama', 'Action']",108,,,
Diary of a Wimpy Kid Christmas: Cabin Fever,57,75,,,,PG,Luke Cormican,"['Kids & Family', 'Holiday', 'Comedy', 'Animation', 'Drama']",64,,,
Tiger,,,,,,,Nandakishore,"['Mystery & Thriller', 'Drama']",155,,,
The Beach Boys,80,89,,2024-05-21,2024.0,PG-13,Frank Marshall,"['Documentary', 'Music']",113,5.0,Spring,2020.0
Young Woman and the Sea,96,88,,2024-05-31,2024.0,PG,Joachim Rønning,"['Biography', 'History', 'Drama']",129,5.0,Spring,2020.0
Inside Out 2,94,91,653000000,2024-06-14,2024.0,PG,Kelsey Mann,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",96,6.0,Summer,2020.0
Blink,51,68,16700000,,,R,Michael Apted,['Mystery & Thriller'],106,,,
Moana 2,85,60,460400000,2024-11-27,2024.0,PG,David G. Derrick Jr.,"['Kids & Family', 'Musical', 'Comedy', 'Adventure', 'Animation']",100,11.0,Fall,2020.0
Mufasa: The Lion King,88,56,254600000,2024-12-20,2024.0,PG,Barry Jenkins,"['Kids & Family', 'Adventure', 'Drama', 'Animation']",118,12.0,Winter,2020.0
Snow White,,,,,,,,[],,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Road Trip",46,58,,,,PG,Marvin Lemus,"['Kids & Family', 'Comedy', 'Drama']",96,,,
Sea Lions of the Galapagos,,,,,,,Hugh Wilson,"['Documentary', 'Nature']",83,,,
Elio,89,83,73000000,2025-06-20,2025.0,PG,Madeline Sharafian,"['Kids & Family', 'Comedy', 'Adventure', 'Sci-Fi', 'Animation']",98,6.0,Summer,2020.0
Freakier Friday,91,74,94200000,2025-08-08,2025.0,PG,Nisha Ganatra,"['Kids & Family', 'Comedy', 'Fantasy']",110,8.0,Summer,2020.0
TRON: Ares,85,53,66400000,2025-10-10,2025.0,PG-13,Joachim Rønning,"['Sci-Fi', 'Action', 'Adventure']",119,10.0,Fall,2020.0
